ID,类别,名称,描述,强度（AI）,较强兵种ID,行动速率,获得机率,出兵称号影响,新建资金,新建所需技术,是否外壳,水边新建,攻击,防御,攻击半径,能否反击,能否被反击,斜向攻击,箭矢攻击,凌空攻击,近身攻击,只能在移动前攻击,建筑伤害系数,建筑反击承受率,计略范围,斜向计略,视野半径,斜向视野,伤兵概率,行动力,单一适性种类,平原适性,草地适性,森林适性,湿地适性,山地适性,水域适性,峻岭适性,荒地适性,沙漠适性,雪地适性,平原乘数,草地乘数,森林乘数,湿地乘数,山地乘数,水域乘数,峻岭乘数,荒地乘数,沙漠乘数,雪地乘数,受火伤率,势力编队上限,每个士兵每天消耗的粮草数,口粮天数,每补充1人所需的技巧点数,成军最小规模,一个单位规模所增加的攻击力,一个单位规模所增加的防御力,最大规模,能否升级,升级成的兵种ID,升级经验,每一百经验增加的攻击力,每一百经验增加的防御力,攻击默认,攻击目标,施展默认,施展目标,影响列表,资金上限,变换至兵种,最低统率(AI),新编条件
92,2,巨灵斧骑,【长刀重骑进阶兵种：攻击强化】,18,,28,1,292,40000,500,false,false,170,1350,1,true,true,true,false,false,true,false,0.3,0.6,2,false,4,false,80,20,0,4,4,16,100,16,5,100,15,20,20,1.2,1.1,0.6,0.1,0.5,0.6,0.1,1,0.3,0.2,1,10,6,12,3,60,5,21,3000,false,-1,0,5,6,0,7,0,3,806 813 810 817 702 711 5090 343,0,-1,80,
100,0,扬州丹阳,丹阳号称精兵之地。东吴靠丹阳募兵起家。【相关城池：宛陵】,12,200 201 202 203 204,35,0,290,10000,300,false,false,62,1020,1,true,true,true,false,false,true,false,0.5,0.6,2,false,4,false,70,18,0,4,5,5,100,5,4,100,7,8,8,1,1.2,1.4,0.3,1.1,0.9,0.3,1,0.7,0.5,1,5,2,7,10,160,2,16,8000,false,-1,0,2,3,0,7,0,3,800 801 702 710 8003 315,0,-1,70,
101,0,中原重步,装备精良、经验丰富的中原重步。【相关城池：许县】,12,200 201 202 203 204,35,0,290,20000,300,false,false,55,1100,1,true,true,true,false,false,true,false,0.6,0.5,2,false,5,false,75,20,0,4,5,7,100,7,5,100,12,9,9,1.4,1.1,1,0.3,0.9,0.6,0.3,1,0.5,0.3,1,5,2,7,10,160,2,18,8000,false,-1,0,2,4,0,7,0,3,805 800 807 803 701 710 316,0,-1,70,
102,0,冀州重戟,装备精良、经验丰富的冀州重戟。【相关城池：南皮】,12,200 201 202 203 204,30,0,290,20000,300,false,false,55,950,2,true,true,false,false,false,true,false,0.3,0.6,2,false,4,false,70,18,0,5,6,7,100,7,5,100,12,9,9,1.1,1.4,1,0.3,0.9,0.6,0.3,1,0.5,0.3,1,5,2,7,5,160,2,17,8000,false,-1,0,2,3,0,7,0,3,800 801 808 809 700 620 690 321,0,-1,70,
103,0,交州义士,装备精良、经验丰富的交州义士。【相关城池：龙编】,12,200 201 202 203 204 208 210,30,0,290,20000,300,false,false,53,900,1,true,true,true,false,false,true,false,0.4,0.6,2,false,4,false,70,18,0,4,5,6,100,5,5,100,9,8,7,1,1,1.3,0.3,1.1,0.9,0.3,1,0.6,0.6,1,5,1,7,10,160,2,16,8000,false,-1,0,2,3,0,7,0,3,800 801 401 700 321,0,-1,60,
110,1,益州精弩,装备精良、经验丰富的益州精弩。【相关城池：成都】,12,300 301 302,40,0,291,20000,300,false,false,58,800,2,true,false,true,false,false,true,false,0.2,0,2,false,5,false,60,18,0,4,5,6,100,5,5,100,6,7,7,1.3,1,1,0.5,1.2,0.6,0.3,1,0.9,0.4,1,5,1,7,10,160,1,14,8000,false,-1,0,2,3,0,7,0,3,808 809 401 710 318 8081,0,-1,70,
111,1,横江射手,装备精良、经验丰富的横江射手。【相关城池：建业】,12,300 301 302,40,0,291,20000,300,false,false,55,795,3,true,false,false,true,true,true,false,0.2,0,2,false,5,false,60,18,0,4,5,6,100,6,5,100,9,8,9,1,1,1,0.5,1.4,0.8,0.3,1,0.7,0.4,1,5,1,7,10,160,1,15,8000,false,-1,0,2,4,0,7,0,3,808 803 804 805 800 801 400 710 382,0,-1,70,
120,2,幽州弓骑,装备精良、经验丰富的幽州弓骑。【相关城池：土垠】,12,400 401 402 403 404 405 406 407 408,50,0,292,40000,300,false,false,105,945,2,true,false,true,true,true,true,false,0.2,0.7,2,false,5,false,65,32,0,4,4,15,100,10,5,100,30,20,20,1,1.4,0.6,0.2,0.8,0.6,0.2,1,0.3,0.1,1,5,3,8,10,60,2,16,3000,false,-1,0,2,3,0,7,0,3,804 805 800 801 808 702 400 220 221 332,0,-1,70,
121,2,并州精骑,装备精良、经验丰富的并州精骑。天下强勇之一。【相关城池：晋阳】,12,400 401 402 403 404 405 406 407 408,40,0,292,40000,300,false,false,110,1050,1,true,true,true,false,false,true,false,0.3,0.6,2,false,4,false,65,25,0,4,4,14,100,10,5,100,20,20,20,1.1,1.4,0.7,0.2,0.8,0.6,0.2,1,0.3,0.1,1,5,3,8,12,60,3,18,3000,false,-1,0,3,3,0,7,0,3,804 805 800 801 702 400 220 221 341,0,-1,70,
122,2,西凉重骑,装备精良、经验丰富的西凉枪骑。天下强勇之一。【相关城池：姑臧】,12,400 401 402 403 404 405 406 407 408,35,0,292,40000,300,false,false,105,1080,1,true,true,true,false,false,true,false,0.2,0.5,2,false,5,false,70,22,0,5,6,14,100,15,5,100,7,100,20,1.1,1.1,0.6,0.2,0.5,0.6,0.2,1.4,0.3,0.1,1,5,4,10,12,60,3,20,3000,false,-1,0,2,4,0,7,0,3,810 811 806 807 809 400 702 227 319 620,0,-1,70,
150,2,象兵,南蛮的奇特兵种，攻击防御出众，只是行动缓慢，攻击范围较窄。【相关城池：永昌】【2400经验升级战象】,8,407,10,0,292,50000,500,false,false,145,1320,1,true,true,false,false,false,true,false,0.6,0.4,2,false,4,false,70,12,0,5,6,6,100,6,5,100,11,100,7,1.1,1,1,0.1,0.5,0.6,0.1,0.9,0.3,0.5,3,3,10,5,20,60,4,26,3000,true,407,2400,3,6,0,7,0,3,809 812 814 816 823 401 702 343,0,-1,60,
151,2,乌丸骑兵,乌丸的弓骑兵。【相关城池：白狼山】,8,,35,0,292,20000,200,false,false,100,870,2,true,false,true,true,true,true,false,0.2,0.7,2,false,5,false,55,28,0,4,4,14,100,12,5,100,20,20,20,1,1.2,0.7,0.1,1.1,0.6,0.1,0.8,0.3,0.1,1,300,3,6,0,60,3,18,3000,false,-1,0,3,2,0,7,0,3,804 805 800 801 808 702 221 710 30002,0,-1,60,
152,2,鲜卑骑兵,鲜卑的轻弓骑兵，机动力强，攻城能力不足。【相关城池：盛乐、东部鲜卑】,8,,40,0,292,20000,200,false,false,98,840,2,true,false,false,true,true,true,false,0.2,0.8,2,false,5,false,55,30,0,4,4,15,100,12,5,100,20,20,20,1.1,1.2,0.6,0.2,0.9,0.6,0.1,1,0.3,0.1,1,300,3,7,0,60,3,17,3000,false,-1,0,3,2,0,7,0,3,804 805 800 801 808 702 221 400  30002,0,-1,60,
153,1,鲜卑弓手,鲜卑的步弓手。【相关城池：盛乐、东部鲜卑】,8,,30,0,291,20000,200,false,false,60,810,2,true,false,true,true,true,true,false,0.2,0,2,false,4,false,55,18,0,4,4,6,100,5,5,100,10,8,10,1,1.2,1,0.1,1.3,0.6,0.1,1,0.7,0.3,1,300,1,6,0,200,2,15,10000,false,-1,0,2,3,0,7,0,3,808 809 804 805 332 400 405 710,0,-1,60,
154,2,匈奴骑兵,曾经草原的王者。天下强勇之一。【相关城池：美稷】,8,,35,0,292,50000,200,false,false,110,840,1,true,true,true,false,false,true,false,0.3,0.7,2,false,4,false,60,30,0,4,4,15,100,13,5,100,25,20,20,1.2,1.2,0.7,0.2,0.8,0.6,0.1,0.9,0.3,0.1,1,300,3,8,0,60,3,19,3000,false,-1,0,3,2,0,7,0,3,804 805 800 801 702 343 319 221 220 30002,0,-1,60,
155,0,羌族步兵,由羌族人组成的步兵【相关城池：羌胡】,8,,30,0,290,20000,200,false,false,57,840,1,true,true,true,false,false,true,false,0.4,0.7,2,false,4,false,55,18,0,5,6,6,100,5,5,100,9,8,8,1,1,1.2,0.2,1.3,0.6,0.1,1.1,0.6,0.3,1,150,1,6,0,200,2,17,10000,false,-1,0,1,3,0,7,0,3,800 801 700 710 322 224 204,0,-1,60,
156,2,羌族骑兵,由羌族人组成的骑兵，天下强勇之一。【相关城池：羌胡】,8,,35,0,292,20000,200,false,false,90,840,1,true,true,true,false,false,true,false,0.2,0.8,2,false,4,false,55,30,0,4,4,15,100,7,5,100,25,20,20,1,1.1,1,0.2,1.1,0.6,0.1,1,0.3,0.1,1,150,3,6,0,60,3,16,3000,false,-1,0,2,3,0,7,0,3,804 805 800 801 702 342 401 30002,0,-1,60,
157,0,山越步兵,山越组成的步兵，擅长山地战。【相关城池：山越】,8,,30,0,290,20000,200,false,false,55,840,1,true,true,true,false,false,true,false,0.4,0.7,2,false,4,false,55,18,0,5,5,5,100,5,5,100,9,8,6,1,1,1.2,0.2,1.3,0.6,0.1,1,0.6,0.8,1,150,1,6,0,200,2,14,10000,false,-1,0,2,1,0,7,0,3,800 801 700 711 230 222 400,0,-1,60,
158,1,山越弓兵,山越组成的弓兵，擅长山地战。【相关城池：山越】,8,,30,0,291,20000,200,false,false,60,840,2,true,false,true,true,true,true,false,0.2,0,2,false,4,false,55,18,0,5,5,5,100,5,5,100,9,8,6,1,1,1,0.4,1.4,0.6,0.1,1,0.7,0.7,1,150,1,6,0,200,2,14,10000,false,-1,0,2,2,0,7,0,3,808 803 804 805 332 230 550,0,-1,60,
159,0,南蛮步兵,南蛮的步兵。【相关城池：南蛮】,8,,30,0,290,20000,200,false,false,57,840,1,true,true,true,false,false,true,false,0.4,0.7,2,false,4,false,55,18,0,5,5,5,100,5,5,100,9,8,6,1,1,1.3,0.2,1.2,0.6,0.1,1,0.6,0.8,1,300,1,7,0,200,2,15,10000,false,-1,0,1,2,0,7,0,3,800 801 700 711 222 224,0,-1,60,
160,2,高句丽骑兵,高句丽的轻骑兵，善射。,8,,40,0,292,20000,200,false,false,75,840,2,true,true,false,true,true,true,false,0.2,0.9,2,false,5,false,50,28,0,4,4,14,100,11,5,100,20,20,20,1,1,0.7,0.2,0.8,0.6,0.1,0.6,0.3,0.1,1,300,3,7,0,60,2,16,3000,false,-1,0,1,3,0,7,0,3,804 805 800 801 808 702 221 711 30002,0,-1,60,
161,0,扶余步兵,扶余征集的部队。,8,,20,0,290,10000,100,false,false,50,840,1,true,true,true,false,false,true,false,0.2,0.9,2,false,3,false,40,18,0,5,5,6,100,5,5,100,9,8,8,1,1,1,0.1,1.1,0.6,0.1,0.8,0.5,0.2,1,300,1,6,0,200,1,14,10000,false,-1,0,1,2,0,7,0,3,800 801 710,0,-1,60,
200,0,陷阵营,高顺率领的精锐部队。“铠甲具皆精练齐整，每所攻击无不破者”。【相关人物：高顺】,20,,35,100,307,80000,500,false,false,75,1140,1,true,true,true,false,false,true,false,1,0.4,2,false,5,true,75,20,0,4,5,6,100,6,5,100,10,8,8,1.1,1,1.1,0.2,1,0.6,0.2,1,0.8,0.4,1,1,5,10,70,60,5,22,3000,false,-1,0,4,6,0,7,0,3,810 811 812 813 808 809 400 703 323 540 695 5090,0,-1,85,
201,0,白眊兵,刘备的亲卫队，由陈到率领。诸葛亮致李严书：“到所督，则先帝帐下眊，西方上兵也。”【相关人物：陈到】,20,,35,100,309,80000,500,false,false,62,1230,1,true,true,true,false,false,true,false,0.5,0.5,2,false,5,true,75,20,0,4,5,5,100,6,5,100,10,8,8,1.1,1.2,1,0.2,1,0.6,0.2,1,0.8,0.4,1,1,4,8,70,60,3,26,3000,false,-1,0,2,8,0,7,0,3,810 823 812 819 815 406 703 323 600 531 604 692 5092,0,-1,85,
202,0,武卫虎士,魏国“宿卫军”中的精锐，曾由武卫将军之“虎痴”许褚统领的侠士，号称“虎卫军”。【相关人物：许褚】,15,,30,1,290,50000,500,false,false,65,1035,1,true,true,true,false,false,true,false,0.6,0.5,2,false,5,true,75,20,0,4,5,6,100,6,5,100,10,8,8,1.1,1,0.9,0.2,1,0.6,0.2,1,0.7,0.4,1,1,2,8,40,120,4,22,6000,false,-1,0,3,6,0,7,0,3,810 817 812 813 809 405 703 316 686 520 590 5091,0,-1,80,
203,0,车下虎士,车下虎士是三国吴宿卫兵，也就是各个吴国诸侯王的私人卫戍部队，是东吴步兵精锐中的精锐。,15,,30,0,290,50000,500,false,false,60,1035,1,true,true,true,false,false,true,false,0.6,0.5,2,false,5,true,75,20,0,4,5,5,100,6,5,100,10,8,8,1,1.1,1,0.2,1,0.6,0.2,1,0.6,0.5,1,1,2,8,40,120,3,21,6000,false,-1,0,2,6,0,7,0,3,804 811 812 813 803 405 703 319 606 620 531 658 5090,0,-1,80,
204,0,大戟士,大戟士属于重装步兵，统帅是张郃，是袁绍部队中的精英部队。【相关人物：张郃】,15,,30,1,290,50000,500,false,false,63,1050,2,true,true,false,false,false,true,false,0.3,0.6,2,false,5,false,75,15,0,5,6,7,100,6,5,100,12,9,9,1,1.1,0.9,0.2,0.8,0.6,0.2,1,0.5,0.3,1,1,4,10,40,120,2,25,6000,false,-1,0,3,6,0,7,0,3,804 805 812 813 814 815 701 322 401 409 620 711 5090,0,-1,80,
205,0,解烦兵,孙权建立的精锐中央军。【相关人物：陈修】,15,,25,1,290,50000,500,false,false,60,990,1,true,true,true,false,false,true,false,0.4,0.5,2,false,4,false,65,20,0,5,5,5,100,6,5,100,10,9,8,1.1,1,1,0.2,1,0.6,0.2,1,0.7,0.4,1,3,2,6,40,120,3,21,6000,false,-1,0,2,5,0,7,0,3,804 811 806 807 802 803 701 711 657 607 322,0,-1,70,
206,0,鬼卒,史载，张鲁在汉中，因袭张修教法，并“增饰之”。自称“师君”。来学道者，初称“鬼卒”。【相关人物：张鲁】,15,200 201 202 203 204,25,1,290,8000,300,false,false,55,1020,1,true,true,true,false,false,true,false,0.3,0.6,2,true,4,false,65,20,0,5,6,7,100,6,5,100,10,8,9,1.1,1,1,0.2,1,0.6,0.2,1,0.9,0.4,1,1,1,6,5,200,2,19,10000,false,-1,0,1,4,0,7,0,3,800 801 685 695,0,-1,60,
207,0,大斧兵,袁术手下大将纪灵所统帅精锐部队，每个人都勇猛无比！【相关人物：纪灵】,15,200 201 202 203 204,35,1,290,10000,400,false,false,85,900,1,true,true,true,false,false,true,false,0.6,0.5,2,false,4,false,70,18,0,5,5,7,100,6,4,100,10,9,9,1,1.1,1,0.3,0.9,0.8,0.3,1,0.6,0.4,1,1,3,8,10,160,3,19,8000,false,-1,0,2,4,0,7,0,3,816 811 806 801 803 702 401,0,-1,75,
208,0,黄巾死士,黄巾军的狂热信徒，悍不畏死。【相关人物：张角】【2000经验升级黄巾力士】,15,,30,100,290,20000,200,false,false,56,900,1,true,true,true,false,false,true,false,0.5,0.6,2,false,4,false,55,20,0,5,6,6,100,6,5,100,10,9,8,1,1,1,0.1,1,0.6,0.1,1,0.6,0.4,1,3,2,7,3,200,2,16,10000,true,209,2000,1,2,0,7,0,3,800 801 621 540 711 702,0,-1,65,
209,0,黄巾力士,"黄巾军的少数精锐部队，悍不畏死,攻击力极为强悍。【黄巾死士2000经验升级得到】",20,,35,0,290,80000,500,false,false,58,1050,1,true,true,true,false,false,true,false,0.4,0.6,2,false,4,false,75,25,0,5,5,6,100,5,5,100,15,9,8,1.1,1,1,0.2,1,0.6,0.2,1,0.7,0.4,1,1,2,8,70,60,4,18,3000,false,-1,0,3,2,0,7,0,3,810 812 801 702 360 621 402 407 551 8002,0,-1,85,
210,0,青州兵,曹操从黄巾军降卒中精选而来，战斗力强悍。【相关人物：曹操】,15,202,20,20,290,10000,300,false,false,60,990,1,true,true,true,false,false,true,false,0.3,0.6,2,false,4,false,65,20,0,4,5,6,100,6,5,100,10,9,8,1.1,1.1,1,0.2,1,0.6,0.2,1,0.7,0.4,1,3,1,6,1,200,3,19,10000,false,-1,0,2,4,0,7,0,3,806 801 701 613 660 609,0,-1,75,
211,0,藤甲兵,由兀突骨率领的防御力出众的部队。曾被诸葛亮用火计大破。【相关人物：兀突骨】,8,200 201 202 203 204,15,1,290,10000,300,false,false,55,1260,1,true,true,true,false,false,true,false,0.3,0.5,2,false,4,false,60,22,0,4,5,6,100,6,5,100,12,9,6,1,1.1,1.1,0.3,1,0.6,0.3,1,0.6,0.7,5,3,1,7,5,160,1,25,8000,false,-1,0,1,8,0,7,0,3,823 806 819 809 701 5092,0,-1,60,
212,0,白波军,中平五年（188）二月，黄巾军余部郭太等人在西河白波谷重新起义，号为白波军。【相关人物：郭太】,8,,25,1,290,8000,200,false,false,58,900,1,true,true,true,false,false,true,false,0.3,0.8,2,false,4,false,60,20,0,5,5,5,100,5,5,100,10,9,8,1.1,1,1.2,0.2,1.1,0.6,0.1,1,0.6,0.4,1,3,1,6,1,100,2,17,5000,false,-1,0,1,4,0,7,0,3,800 801 700 224,0,-1,60,
213,0,泰山贼,东汉末年盘踞泰山四周的贼寇。【相关人物：臧霸】,8,,30,1,290,8000,100,false,false,58,860,1,true,true,true,false,false,true,false,0.4,0.8,2,false,4,false,60,25,0,5,5,6,100,5,5,100,15,9,8,1,1,1.1,0.2,1.2,0.6,0.1,1,0.6,0.4,1,3,1,6,1,100,2,17,5000,false,-1,0,1,3,0,7,0,3,800 801 230 700 712,0,-1,60,
214,0,长矛兵,《三国志》卷四十六记载：时刘表遣从子虎、南阳韩晞将长矛五千，来为黄祖前锋。【相关人物：刘虎】,8,,30,1,290,8000,100,false,false,54,820,2,true,true,false,false,false,true,false,0.3,0.8,2,false,4,false,60,20,0,5,6,6,100,5,5,100,10,9,8,1,1.1,1,0.2,1,0.6,0.1,1,0.6,0.4,1,3,1,5,1,100,2,16,5000,false,-1,0,1,3,0,7,0,3,800 801 808 809 321 220,0,-1,60,
215,0,东州兵,初，南阳、三辅民数万户流入益州，焉悉收以为众，名曰“东州兵”。【相关人物：刘焉】,8,,20,1,290,8000,100,false,false,53,860,1,true,true,true,false,false,true,false,0.3,0.7,2,false,4,false,55,20,0,5,6,6,100,5,5,100,9,7,8,1,1,1,0.1,1.3,0.6,0.1,1,0.9,0.4,1,3,1,5,1,200,2,15,10000,false,-1,0,1,3,0,7,0,3,800 801 224,0,-1,60,
300,1,先登死士,曲义统率的敢死部队，曾大破公孙瓒以白马义从为中坚的骑兵阵。【相关人物：曲义】,20,,45,100,311,50000,500,false,false,70,900,3,true,false,false,false,false,true,false,0.3,0,2,false,5,true,75,20,0,5,5,6,100,6,5,100,10,8,7,1,1.1,1,0.2,1.1,0.6,0.2,1,0.7,0.4,1,1,2,9,40,60,4,20,3000,false,-1,0,3,4,0,7,0,3,810 805 806 801 820 803 400 702 661,0,-1,85,
301,1,元戎弩兵,三国时期蜀国的诸葛亮制作了一种连弩，称作元戎弩，一次能发射十支箭，火力很强，但是体积、重量偏大，单兵无法使用，主要用来防守城池和营塞。【相关人物：诸葛亮】,20,,40,100,294,80000,500,false,false,65,900,4,false,false,false,false,false,true,false,0.4,0,2,false,5,true,75,18,0,4,4,6,100,6,5,100,12,10,7,1.1,1.1,1,0.2,1.1,0.6,0.2,1.1,0.7,0.4,1,1,1,7,70,60,4,20,3000,false,-1,0,6,4,0,7,0,3,810 805 812 807 820 803 401 714 331 551 8081,0,-1,85,
302,1,无当飞军,"诸葛亮利用南中少数民族兵源建立的部队。“身披铁甲，善翻山越岭,善弓弩和毒箭，精于防守”。【相关城池：江州】【相关人物：王平】",15,,35,1,291,50000,500,false,false,60,1050,3,true,false,true,true,true,true,false,0.2,0,2,false,5,false,65,25,0,4,5,6,100,4,5,100,12,8,7,1,1,1,0.3,1.6,0.6,0.3,1,0.9,0.7,1,1,1,10,40,120,3,25,6000,false,-1,0,2,8,0,7,0,3,804 811 806 819 814 815 701 611 348,0,-1,70,
400,2,虎豹骑,曹操最精锐的机动部队，先后由曹纯、曹休、曹真率领。“皆天下骁锐，或从百人将补之”。【相关人物：曹纯】,20,,45,100,308,80000,500,false,false,145,1320,1,true,true,true,false,false,true,false,0.4,0.4,2,false,5,true,80,30,0,4,5,15,100,15,5,100,20,20,20,1.2,1.1,0.7,0.2,0.6,0.6,0.2,1,0.4,0.2,1,1,12,10,70,60,6,21,3000,false,-1,0,5,6,0,7,0,3,816 817 818 813 808 809 400 704 533 551 604 695 343,0,-1,85,
401,2,西凉铁骑,马超率领的精锐骑兵。“士兵碧眼高鼻，重装铁马，手持长枪，在战场上呈方阵型整体攻击”。【相关人物：马超】,20,,35,100,310,80000,500,false,false,142,1450,1,true,true,true,false,false,true,false,0.3,0.5,2,false,5,true,75,28,0,5,5,14,100,15,5,100,20,20,20,1.1,1.2,0.6,0.1,0.5,0.6,0.1,1.3,0.3,0.1,1,1,12,12,70,60,4,22,3000,false,-1,0,3,8,0,7,0,3,806 813 810 817 702 711 406 5091 343 349 364 550 666,0,-1,85,
402,2,白马义从,公孙瓒一手创立的精锐骑兵，并赖之威震塞外。“所有骑兵皆白甲白马”。【相关人物：公孙瓒】,20,,50,100,312,80000,500,false,false,142,1170,2,true,true,true,false,true,true,false,0.2,0.6,2,false,5,true,75,32,0,4,4,15,100,15,5,100,20,20,20,1.1,1.2,0.7,0.1,0.6,0.6,0.1,1,0.3,0.1,1,1,10,9,70,60,5,19,3000,false,-1,0,5,5,0,7,0,3,810 817 818 807 814 809 332 702 383 610 666,0,-1,85,
403,2,羽林郎,汉代禁卫军。西汉时，守卫建章宫，初称为建章营骑，后改称羽林骑。东汉称为羽林郎。【相关设施：羽林骑营】,20,,50,0,292,80000,500,false,false,140,1420,1,true,true,true,false,false,true,false,0.4,0.5,2,false,5,true,75,28,0,4,4,14,100,15,5,100,20,20,20,1.2,1.2,0.7,0.1,0.6,0.6,0.1,1.2,0.4,0.2,1,1,10,12,70,60,4,21,3000,false,-1,0,3,7,0,7,0,3,806 813 810 817 702 711 406 5091 343 613 660 695,0,-1,85,
404,2,幽州突骑,光和中，凉州贼起，发幽州突骑三千人，假瓒都督行事传，使将之。瓒将所领，追讨纯等有功，迁骑都尉。【相关城池：渔阳】,20,,45,100,392,80000,500,false,false,138,1260,1,true,true,true,false,false,true,false,0.3,0.6,2,false,4,false,75,28,0,4,4,14,100,13,5,100,20,20,20,1.2,1.2,0.7,0.1,0.7,0.6,0.1,1,0.3,0.1,1,1,10,8,70,60,5,21,3000,false,-1,0,4,6,0,7,0,3,816 817 812 807 808 803 388 703 541 551 349 604,0,-1,85,
405,2,飞熊军,飞熊军是董卓的私人精锐部队，旗帜上绣有肋生双翅的飞熊图案，由董卓的心腹大将李傕等人统领。【相关人物：李傕】,15,,50,1,292,50000,500,false,false,132,1170,1,true,true,true,false,false,true,false,0.3,0.6,2,false,5,false,75,28,0,4,4,14,100,12,5,100,20,20,20,1,1.2,0.7,0.1,0.8,0.6,0.3,1.1,0.3,0.1,1,1,8,9,40,60,4,20,3000,false,-1,0,3,5,0,7,0,3,816 811 812 807 802 803 405 701 220 221 658 531 319,0,-1,70,
406,2,湟中义从,指已经降于汉朝居住在湟中及令居和张掖一带的月氏胡组成的军队。天下强勇之一。【相关城池：允吾】【相关人物：北宫伯玉、李文侯】,15,,50,100,292,80000,500,false,false,135,1105,2,true,true,false,false,false,true,false,0.2,0.5,2,false,5,false,75,28,0,4,4,8,100,10,5,100,10,20,20,1.1,1.2,0.7,0.1,0.8,0.6,0.1,1.1,0.3,0.1,1,1,8,9,70,60,4,20,3000,false,-1,0,4,6,0,7,0,3,816 817 806 807 808 809 400 704 613 711,0,-1,70,
407,2,战象,南蛮的象兵高级兵种，攻击力和防御力比象兵更加出众，附带战鼓可以激励士气。【象兵2400经验升级得到】,20,,10,0,292,80000,500,false,false,150,1470,1,true,true,true,false,false,true,false,0.7,0.4,2,false,6,false,65,12,0,5,6,6,100,6,5,100,12,100,7,1.1,1,1,0.1,0.5,0.6,0.1,0.9,0.3,0.5,3,1,12,5,70,60,5,29,3000,false,-1,0,5,6,0,7,0,3,816 823 812 819 814 809 401 702 343 661 222 551,0,-1,80,
408,2,黑山铁骑,黑山军的骑兵精锐部队。【相关人物：张燕】,15,,40,100,292,60000,500,false,false,141,1125,1,true,true,true,false,false,true,false,0.3,0.7,2,false,4,false,70,28,0,4,4,12,100,14,5,100,20,20,20,1.2,1,0.8,0.1,0.8,0.6,0.1,1,0.3,0.1,1,1,5,9,10,60,4,20,3000,false,-1,0,3,5,0,7,0,3,810 811 812 801 349 401 408 620 703 711,0,-1,70,
500,3,锦帆贼,甘宁从军前就跟随甘宁的水贼，战斗力强悍。【相关人物：甘宁】,15,,35,100,293,80000,500,false,true,70,1080,2,false,false,true,true,true,true,false,0.3,0.6,2,false,5,false,75,24,6,100,100,100,100,100,4,100,100,100,100,1,1,1,1,1,1.2,1,1,1,1,3,1,2,20,70,60,4,19,3000,false,-1,0,3,5,0,7,0,3,820 822 813 828 831 832 839 225 330 332 342 408 704 30014,0,-1,70,
501,4,霹雳车,古代战车的一种。上装机枢，弹发石块。因声如雷震，故名霹雳车。【相关人物：刘晔】【投石车2000经验升级得到】,20,,10,100,294,50000,500,false,false,82,810,4,false,false,false,false,true,false,false,8,0,2,false,5,false,65,15,0,5,6,15,100,20,5,100,20,20,20,1.1,1.1,0.6,0.1,0.7,0.6,0.1,1,0.2,0.2,3,1,2,6,20,60,4,17,3000,false,-1,0,3,2,4,7,0,3,332 401 382 551 8590,0,-1,75,
502,4,机关木人,由黄月英发明的机关木人，擅长攻城，不过惧怕火焰。【相关人物：黄月英】,15,,15,1,294,50000,800,false,false,50,1200,1,true,true,true,false,false,true,false,10,0.5,2,false,5,false,100,20,0,5,6,10,100,6,5,100,12,15,10,1,1,1.1,0.3,1,0.6,0.3,1,0.3,0.3,3,1,0,6,70,60,3,29,3000,false,-1,0,1,6,0,7,0,3,821 819 823 839 405,0,-1,70,
503,4,羌族铁车,演义中西羌特殊兵种。【相关城池：羌胡】,12,,35,0,294,50000,500,false,false,100,960,1,true,true,true,false,false,true,false,0.2,0.5,2,false,5,false,75,28,0,5,5,15,100,15,10,100,15,30,16,1.1,1.1,0.7,0.2,0.6,0.6,0.2,1.4,0.2,0.2,1,5,4,20,70,120,2,19,6000,false,-1,0,2,5,0,7,0,3,804 817 802 809 834 833 701 690 8561,0,-1,60,
504,4,守城弩车,器械，从远距离对部队造成强力杀伤，守城专用，无法移动。【相关技巧：精装器械】,4,32 501,10,0,294,20000,100,false,false,60,900,4,false,true,false,false,true,false,false,0.4,0,2,false,5,false,60,1,0,100,100,100,100,100,100,100,100,100,100,1,1,0.6,0.1,1,0.6,0.1,1,0.2,0.2,3,50,1,6,10,60,3,14,3000,false,-1,0,1,1,0,7,0,3,804 806 808 828 834 331,0,-1,30,
600,4,寨,使邻近的部队防御增加、减少疲累【相关技巧：寨建设】,4,602,10,0,294,0,0,false,false,20,3000,0,false,true,false,false,false,false,false,0,0,0,false,2,false,100,0,0,5,5,8,20,7,20,100,7,20,20,1,1,1,1,1,1,1,1,1,1,1,500,10,9,5,1000,0,0,1000,false,-1,0,0,3,0,7,0,3,6521 690 618,0,601,30,
601,4,寨建造,可兴建寨的部队，寨使邻近的部队防御增加、减少疲累【相关技巧：寨建设】,4,603,10,0,294,10000,200,false,false,20,300,0,false,true,false,false,false,false,false,0,0,0,false,2,false,100,10,0,5,5,8,20,7,20,100,7,20,20,1,1,1,1,1,1,1,1,1,1,1,500,1,90,5,1000,0,0,1000,false,-1,0,0,0,0,7,0,3,,0,600,30,
