ID,姓,名,简要,演义,历史,剧本,势力颜色,兵种列表
180,,,同为卢植门下的刘备的师兄。率领著称为白马义从的精锐骑兵讨伐異族，被取了「白马将军」的别名。,北平太守。响应曹操並随刘备参加反董卓联盟，在虎牢关一战败给吕布。联合解散後，为和袁绍争夺冀州而在界桥对峙。最初虽趋於劣势，因得到赵雲和刘备的协助挽回局面，在董卓的仲裁下谈和。和袁绍再次开战後被追讨，虽死守易京奋战，最後力竭自杀而死。,並未加入董卓讨伐军。和袁术结盟对抗袁绍，杀死袁绍派的幽州牧·刘虞。,,9,0 1 2 29 30 
181,,,公孙瓒之子。,没有记载。,在公孙瓒被袁绍追赶到易京楼後，向张燕借援军，並受到从外围攻击的指令。不料密探却被袁绍所捕使得作战揭露。指令反遭利用，受引诱而出的公孙瓒吃了大败仗。之後发现自己难逃败北的命运，就同公孙瓒一起自杀。,,52,0 1 2 29 30 
182,,,乳名为公孙豹。武威将军，辽东太守。为公孙康、公孙恭之父，公孙渊的祖父。,只有记载和公孙康、公孙恭之间的关係。,被同郡出身的徐荣向董卓的推薦，成为辽东太守。赴任後因压制乌丸周边地区而使声名大噪。在董卓和诸侯间的相争导致中原荒废之际，抱持著称王的野心，後来便自称辽东侯、平州牧。被曹操任命为武威将军、永寧乡侯时，曾说「我是辽东之王。永寧乡侯算什麼」遂将印绶给收藏起来。,,10,0 1 2 29 30 
183,,,公孙瓒的堂弟。,没有记载。,在袁术军友军的公孙越（公孙瓒的堂弟）於阳城战败死於袁绍军周昂的手下时，受到为恐公孙瓒反击的袁绍授予渤海太守的印绶，以证明友好关係。但公孙範却不向袁绍让步，协助公孙瓒击破青州和徐州的黄巾黨，向界桥进军。公孙瓒在界桥一战败北後，两人共同从渤海撤到蓟驻紮。和定居在蓟的刘虞的关係变为险恶。,,52,0 1 2 29 30 
184,,,东汉豫州刺史。,响应曹操讨伐董卓的诸侯之一。,擅长评论人物和清谈高论，被比喻成为只要吹口气枯树也会开花。另一方面，被评为没有身为军队指挥官的才能，並不适合餐风露宿的劳动工作。在董卓政权下被提拔为豫州刺史，和袁绍等人参加董卓讨伐战而在潁川驻紮。但却把军队指挥权交给臧洪，同其他诸侯因畏惧董卓的兵力而举兵不动。,,52,0 1 2 29 30 
185,,,刘表的武将。刘表死後服侍长沙太守·韩玄。弓箭名手。在中国为老当益壮者的代名词。蜀汉五虎将军之一。,迎击入侵长沙的刘备军，和关羽单挑不相上下。韩玄死後，因为刘备直接来访而决定出仕。在刘备攻蜀时，和魏延以先锋活跃於战前。在曹操军的汉中攻防战中，和同样高龄的严颜联手在葭萌关击退张郃。在定军山时也和法正协力砍杀夏侯渊，也因此功绩成为五虎将军之一。在夷陵之战的前哨战中，冲进潘璋阵营不幸战死。,在刘备成为汉中王後升为後将军，翌年去世。,,52,0 1 2 29 30 
186,,,蜀国越巂太守。,２２５年，在孟获的号召下，和雍闓、朱褒等人反叛蜀国並进攻永昌郡。派遣部下鄂焕迎击对抗诸葛亮所率领的讨伐军。之後，由於中了诸葛亮的離间计，误以为雍闓、朱褒两人背叛，於是杀了雍闓和朱褒向蜀国投降，成为益州太守。,越巂的異族之王。在包围新道县时，受李严所攻而逃亡。刘备死後的２２３年和雍闓、朱褒发起反叛，於２２５年被诸葛亮平定。雍闓是被高定的部下所杀。,,52,0 1 2 29 30 
187,,,魏国官僚。西汉儒者·高堂生的子孙。,没有记载。,为曹操所招揽下进入丞相府。曹丕时代负责守护平原王·曹叡，因长於天文学而被任命研究历法。在曹叡即位後历任陈留太守等职。在曹叡打算继续建造宫殿时，曾严厉地劝谏。後来晋升为侍中、太史令、光禄勋。,,52,0 1 2 29 30 
188,,,刘璋的武将。,为防以讨伐张鲁之名而入蜀的刘备，同杨懷进入涪水关（白水关）。受到决定讨伐刘璋的刘备邀请参加宴会时，企图暗杀刘备而出席。却被庞统察觉，和杨懷一起被刘封和关平砍死。,被庞统评为「刘璋手下的名将，其手下皆为精锐」。和杨懷皆为聽从庞统策略开始攻蜀的刘备所斩首。,,52,0 1 2 29 30 
189,,,东汉官僚。,和卢植、朱儁受何进所命讨伐黄巾黨。加上曹操的指挥，以火攻击败张宝和张梁。在曲阳斩杀张梁等表现活跃，平乱後，成为车骑将军、冀州牧。虽使在战中因拒受宦官贿赂而被罢免的卢植復职，但自己却也因拒受贿赂而遭免职。之後在王允讨伐董卓时，同吕布进攻郿城。,１８８年，和董卓、陶谦、孙坚等人被派遣镇压韩遂的反叛时，遭董卓憎恨，而在董卓掌权後被逮捕。董卓死後，成为太尉。,,52,0 1 2 29 30 
190,,,东汉官僚。孔子的第二十代子孙，建安七子之一。应玚、孔融、王粲、陈琳、徐幹、阮瑀、刘桢齐名，号“建安七子”,北海太守。响应曹操发起董卓讨伐战的诸侯之一。此後，曾被黄巾残黨的管亥等人包围在北海，因太史慈而逃过一劫。同时，接纳了受曹操攻击的陶谦的援助请求，遂同刘备前往。在曹操拥立献帝後回到京城。在曹操下令攻击新野的刘备时，因不慎脱口而出「以至不仁（曹操）伐至仁（刘备），安得不败乎！」 而被处刑。,和平原的陶丘洪、陈留的边让並称为俊才。但疏於政治的实务，而无法保住北海。,,16,0 1 2 29 30 
191,,,袁绍的武将。,官渡之战中，乌巢的兵粮基地受曹操军突袭时，奉郭图命令和张郃攻往曹操本营，却被夏侯惇给击退。由於郭图将自己的失责全部推到高览的身上，於是就同张郃向曹操投降。之後便以曹操军的身份和袁绍军战鬥。後来攻打割据汝南的刘备，虽然三刀砍倒刘辟，最後却被赵雲一击而死。,曹操进攻淳于琼时，奉袁绍之命和张郃攻打曹洪，淳于琼败北时就向曹操投降。,,52,0 1 2 29 30 
192,,,吴国武将。,车骑将军。在晋掀起讨吴战时，由於丞相·张悌献策，便以都督前往江陵赴任。迎击攻来的杜预，却因同僚陆景被张尚所杀造成组织崩壞，於是弃城而逃。途中被伏兵所捕，带到杜预面前被处死。,只记载被杜预处死。,,52,0 1 2 29 30 
193,,,刘表的武将。苍梧太守，交州刺史。刘备的旧交。,没有记载。,是被曹操的南下逼到新野的刘备最先投靠的人物。曾被孙权手下的鲁肃评论为「吴巨没有斩开乱世的才能，不久之後将为其他势力所吸收」。２１１年，受孙权任命为交州刺史的步骘到达之後，表面上顺从孙权的支配来迎接。後来受步骘殷勤的召见到场时，当场立即被杀死。,,52,0 1 2 29 30 
194,,,魏国官僚，国泰之父。,没有记载。,热衷研究学问，喜好古学，曾被老师郑玄评论为「将成为国家级的人物」。一时曾为了避战乱而移到辽东，返回後为曹操效命。统括屯田政策，五年之间就回復亏损的国库。曹操讨伐马超和韩遂的反叛时受命留守，镇压在河间发起叛乱的田银和苏伯。因此功绩晋成为魏郡太守。後升为太僕，在任职中死去。即使身处大臣高位，依然是粗衣粗食，贯彻谦虚的态度。,,52,0 1 2 29 30 
195,,,孙坚之妻·吴氏之弟。孙策、孙权的叔父。丹阳太守。,自幼与双亲死别，同姐姐移往钱塘。遭扬州刺史·刘繇攻打，为孙策所救。,追随孙坚立下战功，被袁术任命为丹阳太守，之後到外地讨伐周昕。在刘繇扩大势力之後回到袁术麾下，同孙贲共战笮融、薛礼。之後虽被袁术任命为广陵太守，在袁术自称皇帝後，就回到孙策的手下担任丹阳太守。,,52,0 1 2 29 30 
196,,,吴国建平太守。,在晋挑起吴国讨伐战後，诸多投降的吴国将领中战到最後，直到得知吴国灭亡才投降的将领。,西陵的步阐倒向投向晋时，在陆抗的指挥下和左奕、蔡贡等人加入讨伐军。见到长江上所漂流的木屑，察知是晋为了讨伐吴国而开始造船。试向孙皓建议增加建平的兵员却遭拒绝。改仕於晋之後，历任金城太守、南中都督、交州刺史。,,52,0 1 2 29 30 
197,,,诸葛诞的武将。西汉长沙王第十六代子孙。,在魏国的诸葛诞和吴国的孙綝结盟举兵讨伐司马昭时，跟身为人质的诸葛靓（诸葛诞之子）同行前往吴国。在被孙綝所接受後，回到寿春並告知诸葛诞。,虽然比所发现的长沙王遗體的身高还矮，不过姿态却很相似。在向孙綝请求救援後，並没有回到寿春的记载。,,52,0 1 2 29 30 
198,,,孙坚的第二夫人，孙朗、孙仁（孙尚香）之母。姐姐吴氏是孙坚的第一夫人，生下孙权、孙翊。,在孙权时代姐姐吴氏死去，之後就被称为吴国太。赤壁之战前，为了向曹操投降及抗战造成朝臣意见歧分两派，便让为此而烦恼的孙权想起孙策和姐姐的遗言，並劝其和周瑜商量。之後，对於周瑜打算藉由和孙尚香成婚将刘备诱出並暗杀一事，知道後大为震怒。亲自和刘备会面後，十分欣赏刘备的吴国太就让刘备迎娶孙尚香。,没有记载。只记载孙朗是孙坚嫡子。孙仁是孙朗的别名。孙朗和孙氏（孙尚香）是否亲兄妹依然不明。,,52,0 1 2 29 30 
199,,,蜀国武将。,参加诸葛亮的北伐。２５８年的姜维北伐中担任後卫守护汉寿城。当锺会的蜀国讨伐军攻破阳平关时，前往成都请求救援。,侍奉诸葛亮，为人忠实並常予以助言因此受到赞赏。在诸葛亮北伐时从军，诸葛亮死後统括汉中诸军。蜀国另还有外一位胡济。受命担任镇西将军，参加２５６年的姜维北伐。虽然是姜维的援军却无法会合，惨败给邓艾。２５８年，奉姜维命令进入汉寿。演义中将这两个人当作是同一个人。,,52,0 1 2 29 30 
200,,,吴国幕僚。,孙策死後，应孙权的招揽加入阵营。,牧童出身。受孙和提拔並立下功绩，得到了和陆逊、卜静等人齐名的名声。孙权成为车骑将军後，被中央招揽。２２２年，同吕範、贺齐在洞口防止曹休的攻击。因此功绩成为会稽太守，和吕岱讨伐山越表现活跃。返回中央後成为太子太傅。当孙权废太子孙和欲立孙霸时，便同陆逊取得连络强力反对，並向孙权进言将孙霸和杨竺调往地方。後来受到了孙霸和杨竺的中伤，而遭处刑。,,52,0 1 2 29 30 
201,,,魏国武将。胡敏之子，胡威之父。,东莞太守。当吴国的周鲂将曹休引诱到石亭时，在贾逵的指挥下同满宠出兵濡须。,从年少时就和蒋济、朱绩在淮水一带相当为人所知。还曾为张辽所託，希望能让温恢迎为部下。从东莞太守变成荆州刺史，在樊城击退吴国的朱然。接著成为征东将军掌握青州和徐州的军事力量。致力於农业发展，由於不将自己的想法强强制在别人身上，在每个任地都获得仰慕。,,52,0 1 2 29 30 
202,,,魏国官僚，朝歌县长。和曹丕交情甚笃。,受到和曹植争夺继承之位的曹丕的商谈，而躲在衣箱裡进出曹丕的宅邸。虽遭曹植派的杨修密告，便将计就计把放了绢布的衣箱送进曹丕的宅邸，让门卫检查。接到报告的曹操认为杨修想要陷害曹丕，便疏远杨修。,在迎送曹操出征之际，和赠送美丽词句的曹植相比，吴质则是叫曹丕无言的留下眼泪，因而得到曹操欢心。曹丕即位後其态度转变为傲慢，因此死後曾一时被称为醜侯。是代表魏国的文人之一。,,52,0 1 2 29 30 
203,,,张绣的武将。,是个身背五百斤重物一天可走七百里的豪傑。当张绣因为曹操和邹氏私通，感到極为愤怒而袭击曹操时，将曹操的护卫典韦的双铁戟夺走使他失去战力。,以张绣军中第一的武艺誇耀。在张绣向曹操投降後，被曹操称赞其武艺，並得到黄金。知道这件事情的张绣，以为曹操在讨好自己的亲信预谋要杀害自己，於是就决定计劃背叛曹操。,,52,0 1 2 29 30 
204,,,魏国武将。胡烈之父，胡渊的祖父。,司马懿讨伐公孙渊时担任先锋，後来成为征东将军。孙权死後，和王昶、毌丘俭在司马师的命令下讨伐吴国。但在攻打东兴城时受到丁奉的奇袭，被部下桓嘉等人给击败。之後在毌丘俭掀起反叛时，和王基、邓艾等人协力镇压。,被张既起用。２２３年匈奴的胡薄居姿职叛乱时，奉司马懿之命前去镇压。曾历任征东大将军、卫将军、车骑将军。,,52,0 1 2 29 30 
205,,,董卓的武将。,在以袁绍为盟主的反董卓联盟来袭时，为华雄的副将防守汜水关。和联合军的先锋·孙坚交战时，被程普所杀。,陈郡太守。当孙坚进军阳人时，同吕布前往迎击。但却引起吕布与诸将领的反感，於是传达友方假情报，在未能一战时就败走。並没有因和孙坚军一战而死的描写。,,52,0 1 2 29 30 
206,,,吴国丞相·顾雍之子。「吴之四姓」的顾家之後。,没有记载。,和诸葛恪、张休、陈表同为皇太子·孙登的学友。其广博的见识无人能出其右。顾雍死後成为太常。对於冷落太子·孙和而宠爱鲁王·孙霸的孙权，进言应该要明辨嫡子和庶子之分。於是和孙霸的关係恶化。再加上蔑视孙霸派的全奇，因此被全琮父子陷害被流放到交州。由此怨愤而写了「新言」20卷。在遭到流放的两年後，以42岁之龄死去。,,52,0 1 2 29 30 
207,,,乌戈国王。身高一丈二尺。生吃活蛇及野兽，身上覆盖著鳞片且刀枪不入。率领著穿著浸过油且日曬过的藤蔓铠甲的藤甲兵。藤甲兵身著铠甲渡河，虽是刀枪不入，但火是唯一弱点。,受诸葛亮六擒六放的孟获最後投靠的蛮族之王。骑著大象率领著藤甲兵压制住蜀军。追著战败而逃的魏延被引诱到盘蛇谷，受到由诸葛亮所策劃的火攻而全灭。由於之後，孟获才对诸葛亮感到心服口服。,没有记载。,,52,0 1 2 29 30 
208,,,曾服侍桓帝的胡华之子。曹操的荥阳太守·王植的从事。,降於曹操的关羽为了返回刘备阵营通过荥阳时，奉王植之命要烧死关羽。但由於关羽持有胡华的书信，加上自己也推崇关羽的人品因而放行。之後投靠关羽前往荆州。当刘备成为汉中王，关羽被任命为五虎将军时，以关羽代理人的身份被派遣到成都，受取爵位。,没有记载。,,52,0 1 2 29 30 
209,,,蜀国武将。何进的武将吴匡之子，吴懿的族弟。,张飞的副将。在张飞被范彊和张达所杀害後，便成为关羽和张飞復仇战的先锋，向吴国进军。依张南和冯习的指示在夷陵包围孙桓，因刘备败给陆逊而撤退。之後成为後将军参加诸葛亮的北伐。在第五次的北伐中，同吴懿奉命烧掉魏军的浮桥，不料被司马懿识破而被张虎和乐綝所杀。,在蜀国时，经常得到仅次於吴懿的官位。刘禅时代成为骠骑将军。在北伐时大破张郃。並没有战死的记载。,,52,0 1 2 29 30 
210,,,魏国武将。胡遵之子，胡烈之兄。,在诸葛诞掀起反叛时，加入司马昭所指挥的镇压军，进入寿春城将诸葛诞杀死。晋时代为平南将军，在杜预所指挥的吴国讨伐战中奉命攻打夏口。虽叮咛主张速攻的杜预自重但是杜预还是贯彻速攻，策略战勝吴国。,历任地方的军政官。当王经被姜维包围在狄道城时，和陈泰、邓艾、王秘一起前往救援。由於女兒成为武帝司马炎的贵人（宫廷女官）备受宠爱，因此就任镇东大将军等高官。,,52,0 1 2 29 30 
211,,,吴国之臣。顾邵、谭、承之父。为「吴之四姓」的顾家之後。,在张紘的推举下侍奉孙权，代理执行太守一职。赤壁之战开战前，同张昭与曹操交战。夷陵之战前，在孙权臣服曹丕得到吴王的地位时，以不该受取他人爵位的理由反对。２２９年，孙权登上帝位後就任丞相。,蔡邕的门生。２２５年丞相孙邵死後，周围的人皆推举张昭为後任，不过孙权却任用顾雍。沉默寡言，尤其是反对政策时完全不发言。只要一看到顾雍默不作声，孙权就会从新考虑政策。,,52,0 1 2 29 30 
212,,,刘备的武将。,服侍刘璋。在刘备攻蜀时，同刘循、吴懿、雷铜前往救援受困於雒城的张任，结果因被抓而投降。後来成为刘备部下的将领。和曹操进行汉中攻防战时，在马超的指挥下防守下弁，被曹洪击败。之後，在汉水附近遭遇援助曹操而来的曹彰，大战数回合後被杀。,並没有身为刘璋部下的记载。２１８年，奉刘备之命同雷铜进攻武都，败给曹洪、曹休、张既而全灭。被氐族的强端所斩杀。,,52,0 1 2 29 30 
213,,,魏国武将。胡遵之子，胡奋之弟，胡渊之父。,参加锺会的蜀国讨伐战。在蜀国投降後，因为拒绝与锺会和姜维共同谋反而成为阶下囚。在前部下丘建牵引下前来的胡渊等人将锺会和姜维杀死，使得逃过一劫。,参加诸葛诞的反叛镇压军，烧光吴国朱異所看守的兵粮。在蜀国讨伐战中和田续、庞会包围姜维，接收了姜维所送的投降信。镇压了锺会和姜维的谋反後，前去西陵援救受陆抗包围的罗宪，並击退陆抗。历任襄阳太守、荆州刺史。,,52,0 1 2 29 30 
214,,,魏国官僚。崔林的堂兄，郑玄的弟子。,虽然曾经服侍袁绍，但在曹操压制邺城後就加入其阵营。此时，对得到户籍且对冀州的豐饶感到喜悦的曹操诉说人民的辛苦，並加以劝诫。曹操为丞相时进入丞相府，在曹操为魏公後担任尚书。但在曹操计劃自立为魏王时，独自一人反对並大声痛骂曹操奸贼，最後被杀。,和司马朗甚亲，早先也就获得司马懿的评價。写给自己所推薦的杨训的书信中的一节，由於有批判时事的内容，因此惹恼曹操而自杀。,,52,0 1 2 29 30 
215,,,女流诗人。学者·蔡邕之女，原卫道玠之妻。,被匈奴带走，以琴曲歌辞「胡笳十八拍」咏唱自己流離遭遇的悲伤。当和蔡邕有深交的曹操在河北的势力扩大，打算用千金买回时，便被畏惧曹操势力的左贤王给送回来。之後，在曹操的说媒下，成为董纪（正确应该是董祀）的妻子。在曹操即将出征和刘备的汉中功防战时，在莊园受到曹操的访问，两人合作解开蔡邕的遗书之谜。,现存的遗作有「悲愤诗」。「胡笳十八拍」据说是别人对蔡邕的境遇感到悲伤而咏唱的。,,52,0 1 2 29 30 
216,,,刘表的重镇·蔡瑁的堂弟。和蔡中是兄弟。,当蔡瑁想暗杀进驻新野的刘备时，曾加入和蔡瑁合作。当继承刘表的刘琮向曹操投降後，成为曹操的部下。在赤壁之战前蔡瑁被曹操处刑後，为了挽回名誉假装向孙权军投降。被周瑜识破为「埋伏之毒」而置於不顾。之後将黄盖遭到棒刑一事使其通知曹操，让曹操对黄盖的诈降信以为真。赤壁之战开始後，被带到周瑜面前处死。,没有记载。,,52,0 1 2 29 30 
217,,,刘表的续絃，蔡瑁之姐。刘琦的义母，刘琮之母。,对於投靠刘表而进入新野的刘备早先开始戒备，同蔡瑁策劃放逐或杀害刘备的计劃。刘表将死之际，策劃置刘琦一旁而立刘琮为继承者。刘表死後，伪造遗言将刘琮立为後继者。在刘琮向曹操投降後，和刘琮同行前往青州时，双双被于禁所杀。,並非刘琮的亲生母亲。因为姪女成为刘琮之妻，所以才对刘琮特别偏爱。並没有同刘琮被于禁所杀的记载。,,52,0 1 2 29 30 
218,,,刘表的重镇·蔡瑁的堂弟。和蔡和是兄弟。,在蔡瑁欲暗杀投靠刘表而进入新野的刘备时，曾协助蔡瑁。刘表死後，刘琮向曹操投降时，臣服於曹操。在赤壁之战前蔡瑁被曹操处刑後，同蔡和假装向孙权军投降。被周瑜识破为「埋伏之毒」而置於一旁不管。之後将黄盖遭周瑜处以棒刑一事使其通知曹操，让曹操对黄盖的诈降信以为真。赤壁之战开始後将甘寧引到曹操阵营，後被砍杀。,没有记载。,,52,0 1 2 29 30 
219,,,刘表的武将。刘表的续絃·蔡氏之弟。,当孙坚依照袁术的指示攻打刘表时，和孙坚一战後失败，但因刘表的亲戚缘故而免於一死。在刘备投靠刘表进入新野时，同蔡氏企图暗杀刘备。刘表死後，捏造遗言让外甥刘琮成为继承人。但是看出曹操南下的动静时，便指示刘琮投降，受曹操任命为水军都督。和孙权军一战之前整备水军，其气势让周瑜大感震惊，不过却因为周瑜的计谋而被懷疑为内奸，同张允一起被杀。,刘琮为姪女之夫。並没有被曹操处死的描述。,,52,0 1 2 29 30 
220,,,魏国官僚。崔琰的堂弟。,没有记载。,在曹操平定冀州後被起用。魏建国时成为御史中丞，曹丕即位後被任命为尚书。後来虽然为幽州刺史，却因为不懂得谄媚上司而遭左迁，令人惋惜。曹叡即位後成为光禄勋、司隶校尉，最後升为司空。从平民中提拔後来成为名士的王经，而广受称赞。,,52,0 1 2 29 30 
221,,,吴国武将。,没有记载。,２７２年，西陵的步阐向晋投降时，在陆抗的指挥下前往讨伐。同吾彦、蔡贡等人包围西陵，击退前来救援步阐的羊祜、杨肇等人。在击退杨肇後羊祜也退兵，被孤立的西陵没多久就被攻陷。,,52,0 1 2 29 30 
222,,,扬州刺史·刘繇的武将。,迎击进攻江东的孙策但被击败，同刘繇投靠刘表逃亡到豫章。,投靠徐州牧·陶谦，负责监督物资的运送。将物资占为己有累积财力，建造佛教寺庙。曹操攻击陶谦时逃往广陵，杀害曾礼遇待之的太守赵昱並大肆掠夺。之後同薛礼以刘繇为盟主和孙策对战而败，逃往豫章。杀害薛礼及豫章太守的朱皓，被企图自立为王的刘繇所击败，逃跑中被当地人民所杀。,,52,0 1 2 29 30 
223,,,吴国武卫士。,当握有实权的孙綝驻紮武昌时，同魏邈向吴帝·孙休上奏「孙綝有谋反的动向」。在丁奉的策劃下张布杀了孙綝後，施朔和丁奉、魏邈合力逮捕孙綝的弟弟们。,在孙綝提出想驻紮武昌的请求时，向孙休报告说已掌握了孙綝企图谋反的证据。,,52,0 1 2 29 30 
224,,,魏国武将。,在邓艾的指挥下和姜维的北伐军战鬥。邓艾和锺会挑起蜀国讨伐战时，随邓艾越过阴平的捷径攻击绵竹关。虽曾一度和邓忠败给诸葛瞻，但再次出击时成功地攻下绵竹关。降伏了刘禅後，被任命为益州刺史。,虽然曾是邓艾军的武将，在向蜀国投降後，和锺会、胡烈等人联手，上奏邓艾有企图谋反的举动。但却在邓艾父子被卫邓和田续杀死时一起被杀死。,,52,0 1 2 29 30 
225,,,魏国重臣。司马师、昭之父，司马炎的祖父。晋宣帝。,荆州的关羽攻击襄阳时，献策和孙权同盟共同攻击关羽。得到曹丕的信任，曹叡时代统括雍州和凉州的军事。虽一度因诸葛亮和马谡的计谋被懷疑谋反遭到解职，在诸葛亮北伐後又復职。之後到诸葛亮战死於於五丈原为止，一直防禦著蜀军的攻击。此外，公孙渊在辽东企图自立时，以电击般的速度远征並且讨伐。在曹芳时代，因为曹爽的阴谋而被夺去实权，不过２４９年时成功地讨伐曹爽而夺回政权。,平定王淩的反叛後就任相国。奠定了晋朝的基础。,,40,0 1 2 29 30 
226,,,司马懿之孙，司马昭的长子，司马攸之兄。晋武帝。,司马昭死後继承晋王之位。之後随即派遣心腹贾充等人迫使魏帝·曹奂退位，然後登上帝位。当吴国陆抗遭到罢免，由羊祜上奏讨伐吴国时，被贾充、荀勗、冯紞等劝阻暂缓出兵。羊祜病死後，由王濬、杜预再度上奏後决定出兵。派遣杜预、司马[0xFA][0x40]、王浑、王戎、胡奋、王濬、唐彬、杨济等人出击灭了吴国。,晋朝时是将兵权给予各个皇族並给予封地。当皇帝的势力衰弱时，各地的皇族纷纷独立而导致了「八王之乱」。,,40,0 1 2 29 30 
227,,,魏国重臣·司马懿的长子。司马昭之兄。晋景帝。,跟随司马懿，在防禦诸葛亮的北伐军和讨伐公孙渊时十分活跃。２４９年的政变时打倒政敌曹爽掌握政权，在司马懿死後成为大将军。之後拥有比皇帝还要大的实权，虽然差点被曹芳诛杀，但是防範於未然。之後废曹芳立曹髦，将协助曹芳的夏侯玄、李豐、张缉处刑。亲自镇压反对废曹芳而发起叛乱的毌丘俭、文钦，不过不久後就死去。,孙权死後下令讨伐吴国失败。自己负起了责任，並未处罚指挥官王昶、胡遵、毌丘俭等人。,,40,0 1 2 29 30 
228,,,司马懿的次子，司马师之弟，司马炎、攸之父。晋文帝。,跟随司马懿，在防禦诸葛亮的北伐军和讨伐公孙渊时十分活跃。在其兄身为大将军的司马师死後继承政权。在反司马家的诸葛诞叛乱时，拥立魏帝·曹髦並加以镇压。虽然险被害怕自己威望的曹髦所杀，但是防範於未然。杀了曹髦拥立曹奂，並将协助曹髦的王经处刑。２６３年派遣锺会和邓艾灭蜀国。翌年成为晋王。,从晋公升格为晋王时，对巴结自己的太尉王祥给予厚待。,,40,0 1 2 29 30 
229,,,司马懿的六男。司马师、司马昭之弟。,晋国司马炎时代被封为镇东大将军、琅邪王。２７９年参加吴国讨伐战，率先与降伏孙皓的王濬军队会合，同庆讨伐成功。,魏国兖州刺史。在魏帝·曹髦和王经等人共谋企图讨伐司马昭时，同贾充等人攻打曹髦。在平定吴国後升为大将军。,,52,0 1 2 29 30 
230,,,魏国官僚。司马懿的次弟，司马望之父。,对曹操死後曹丕的即位很有贡献，历任尚书、尚书令。在司马懿夺取曹爽政权时协助司马懿。在司马师废掉曹芳後，看出郭太后的意图提议拥立曹髦。在曹髦被司马昭派的贾充所杀害之後，跪地抱著遗體痛哭，令司马昭允许可以君王之格下葬。司马炎即位时，受封为安平王却拒绝，贯彻身为魏臣的立场。,在诸葛恪攻打合淝新城时，负责防卫的指挥。也以邓艾的後续部队与姜维的北伐军交战。,,52,0 1 2 29 30 
231,,,魏国武将。司马孚之子，司马朗的养嗣子。,２５８年，姜维进攻长城时，率领王真、李鹏抗战而败，被邓艾所救。同年，姜维出兵祁山时，和邓艾一同迎击。看穿姜维所佈的「长蛇捲地之阵」，並和姜维在阵势上一较高下（和诸葛亮的好友崔州平、石广元交情甚笃缘故，因此知道姜维向诸葛亮所学的兵法）。２６３年，当邓艾和锺会进行蜀国讨伐战时，在邓艾的指令下牵制羌族。,为叔父司马朗的後继。在魏国被封为司徒，在晋国时被封为义阳王，历任大尉、大司马。,,52,0 1 2 29 30 
232,,,司马昭的次子，司马炎之弟。因为伯父司马师没有子嗣，所以成为他的养嗣子。,由於武艺優秀，性格温厚的缘故受到司马昭的宠爱。本来被成为晋王的司马昭指名为继承人，却遭到山涛、贾充、何曾、裴秀、王祥、荀顗等人的反对，由其兄司马炎成为继承人。,司马炎即位後被调離中央封为齐王。指责司马炎对其弟的处置太过分的曹志遭到免职，司马攸本人最後也因忧鬱而死。,,52,0 1 2 29 30 
233,,,司马懿、司马孚之兄，司马遗之父。,服侍曹操，为丞相主簿。,在董卓迁都长安而荒废洛阳时，带领家人逃难。後来服侍曹操，历任堂阳太守、兖州刺史等地方官，由於广施德政而备受爱戴。２１７年，同夏侯惇、臧霸参加吴国讨伐战。在疫病蔓延时也亲自巡查给予医药，最後却染病而死。在曹叡时代，司马孚之子·司马望成为继承人。和崔琰相当亲近。,,52,0 1 2 29 30 
234,,,吴国武将。,在刘备为了帮关羽报仇攻入宜都时，追随孙桓迎击。和张苞大战30余回合，最後仍不敌败北。翌日，为了保护孙桓挡在张苞面前，而一刀被杀死。,陆逊击破关羽压制荆州後，同李異率三千兵力攻打蜀军。击破詹晏、邓辅、郭睦等人，並拿下陈凤。此外，在陆逊的指挥下击破文布、邓凯。並没有和进攻荆州的刘备交战的记载。,,52,0 1 2 29 30 
235,,,东汉徐州刺史。,车骑将军。在曹操和刘备杀了吕布後，代替刘备治理徐州。之後，奉曹操之命暗杀为了讨伐袁术前来徐州的刘备，於是向陈登商量这件事。可是站在刘备这边的陈登洩漏计劃，被关羽和张飞袭击所杀。,並没有被背叛曹操的刘备杀死的记载。,,52,0 1 2 29 30 
236,,,五溪的蛮族之王。使用铁蒺藜骨朵。,在蜀帝·刘备为了帮关羽復仇而对吴国发起的夷陵之战时加入蜀军。不顾自己生病出阵，结果被吴国的甘寧射杀。另一个说法是，在吴国淳于丹发动夜袭的时候，曾经成为伏兵断了敌军的後路。可是由於陆逊的火计使蜀军节节败退，在沙摩柯单枪匹马逃走时遇到了周泰。大战20多回合後由於筋疲力竭被砍死。,在夷陵之战中加入蜀国的異族首领。遭遇陆逊的火攻而被砍杀。並没有被甘寧杀掉的记载。,,52,0 1 2 29 30 
237,,,吴国武将。朱桓之子。「吴之四姓」的朱家之後。,在魏国诸葛诞反叛的时候，在孙綝的命令下前往援救诸葛诞。可是却连续败给王基、锺会、司马昭，被極为愤怒的孙綝所杀。,和孙权互相辩论战略，被赞为比传说中更大胆的人物。２５２年，在魏国的胡遵和诸葛诞进攻东兴时，率领水军迎击获得大勝。２５７年成为大都督，前往救援在寿春四处起义的诸葛诞，却因兵粮不足而撤退惹火了孙綝。在返回时不顾陆抗的制止和孙綝见面，当场被杀死。,,52,0 1 2 29 30 
